key;ru;en
"ui.menu.story";"Истории";"Story"
"ui.menu.shop";"Магазин";"Shop"
"ui.menu.boosters";"Бустеры";"Boosters"
"ui.menu.market";"Чёрный рынок";"Black Market"
"ui.menu.auction";"Аукцион";"Auction"
"ui.menu.daily";"Журнал";"Journal"
"ui.journal.title";"Журнал";"Journal"
"ui.journal.tasks";"Задачи";"Tasks"
"ui.journal.login";"Вход";"Login"
"ui.journal.daily";"Ежедневные";"Daily"
"ui.journal.weekly";"Еженедельные";"Weekly"
"ui.journal.achievements";"Достижения";"Achievements"
"ui.journal.day";"День {0}";"Day {0}"
"ui.journal.reset";"Сброс через";"Resets in"
"ui.journal.dayShort";"д";"d"
"ui.nav.play";"Играть";"Play"
"ui.nav.boosters";"Бустеры";"Boosters"
"ui.nav.shop";"Магазин";"Shop"
"ui.nav.market";"Рынок";"Market"
"ui.nav.tasks";"Журнал";"Journal"
"ui.nav.auction";"Аукцион";"Auction"
"ui.home.pvp";"Рейтинговый бой";"Ranked Battle"
"ui.home.pve";"Кампания";"Campaign"
"ui.home.training";"Тренировка";"Training"
"ui.home.training_desc";"Бой с ИИ 1 на 1";"1v1 battle vs AI"
"ui.home.find";"Найти";"Find"
"ui.home.play";"Играть";"Play"
"ui.home.deck";"Колода";"Deck"
"ui.home.blackMarket";"Чёрный рынок";"Black Market"
"ui.home.rank";"Ранг";"Rank"
"ui.home.online";"онлайн";"online"
"ui.home.quick";"Быстрый доступ";"Quick Access"
"ui.home.season";"Сезон";"Season"
"ui.home.level";"Ур.";"Lv."
"ui.pve.title";"Кампания";"Campaign"
"ui.pve.battle";"Бой";"Battle"
"ui.pve.reward";"Награда";"Reward"
"ui.pve.play";"Играть";"Play"
"ui.pve.locked";"Закрыто";"Locked"
"ui.pve.done";"Пройдено";"Completed"
"ui.pve.chapterOf";"глава {0} из {1}";"chapter {0} of {1}"
"ui.pve.campaignDone";"пройдена";"completed"
"ui.profile.title";"Профиль";"Profile"
"ui.profile.wins";"Победы";"Wins"
"ui.profile.losses";"Поражения";"Losses"
"ui.profile.winrate";"Винрейт";"Win rate"
"ui.profile.games";"Сыграно игр";"Games played"
"ui.profile.achievements";"Достижения";"Achievements"
"ui.profile.boosters";"Бустеров открыто";"Boosters opened"
"ui.profile.cards";"Карт собрано";"Cards collected"
"ui.meta.buy";"Купить";"Buy"
"ui.shop.owned";"Куплено";"Owned"
"ui.shop.empty";"Кажется, магазин кто-то ограбил. Зайдите позже.";"Looks like someone robbed the shop. Come back later."
"ui.currency.GD";"Бабосик";"Buckaroo"
"ui.currency.GM";"Безделушки";"Trinket"
"ui.currency.SC";"Обрывки";"Scraps"
"ui.card.dust";"Порвать";"Shred"
"ui.market.sold";"Продано";"Sold"
"ui.meta.sell";"Продать";"Sell"
"ui.meta.remove";"Снять";"Remove"
"ui.meta.collect";"Забрать";"Collect"
"ui.meta.streak";"Серия";"Streak"
"ui.meta.reward";"Награда";"Reward"
"ui.meta.loginReward";"Награда за вход";"Login Reward"
"ui.meta.purchase";"Покупка";"Purchase"
"ui.meta.notEnough";"Недостаточно средств";"Not enough funds"
"ui.meta.enterPrice";"Укажите цену";"Enter a price"
"ui.meta.empty";"Пока пусто";"Nothing here yet"
"ui.dialog.confirm";"Подтвердить";"Confirm"
"ui.dialog.cancel";"Отмена";"Cancel"
"ui.dialog.buyConfirm";"Купить за {0} {1}?";"Buy for {0} {1}?"
"ui.dialog.sellConfirm";"Выставить за {0} {1}?";"List for {0} {1}?"
"ui.task.play_games";"Сыграть игры";"Play games"
"ui.task.win_games";"Победить в играх";"Win games"
"ui.task.play_cards";"Разыграть карты";"Play cards"
"ui.task.open_boosters";"Открыть бустеры";"Open boosters"
"ui.task.completed";"Завершено";"Completed"
"ui.task.claimed";"Получено";"Received"
"ui.booster.tap";"Нажмите, чтобы открыть";"Tap to open"
"ui.title.name";"Горе-герои";"Second-Hand Heroes"
"ui.title.tap";"Нажмите, чтобы продолжить";"Tap to continue"
"ui.inspect.related";"Связанные карты";"Related cards"
"ui.settings.title";"Настройки";"Settings"
"ui.settings.language";"Язык";"Language"
"ui.settings.site_id.hint";"Гостевой ID — для входа на сайте игры (раздел «Моя коллекция»)";"Guest ID — sign in on the game website with it (My Collection)"
"ui.settings.site_id.button";"Скопировать ID";"Copy ID"
"ui.settings.site_id.copied";"ID скопирован в буфер обмена";"ID copied to clipboard"
"ui.common.back";"Назад";"Back"
"ui.deck.no_commander";"Сначала выберите командира";"Choose a commander first"
"ui.deck.wrong_color";"Карта не совпадает по цвету с командиром";"Card color doesn't match the commander"
"ui.deck.exotic_limit";"В колоде уже есть экзотическая карта";"The deck already has an exotic card"
"ui.deck.copy_limit";"Достигнут лимит копий для этой карты";"Copy limit reached for this card"
"ui.deck.not_enough_copies";"У вас нет достаточно копий этой карты";"You don't have enough copies of this card"
"ui.deck.commander_set";"Командир: {0}";"Commander: {0}"
"ui.deck.full";"Колода заполнена (20 карт + командир)";"Deck is full (20 cards + commander)"
"ui.deck.commander_removed";"Командир убран из колоды";"Commander removed from the deck"
"ui.deck.default_name";"Колода";"Deck"
"ui.deck.saved";"Колода «{0}» сохранена";"Deck «{0}» saved"
"ui.deck.save_error";"Ошибка сохранения: {0}";"Save error: {0}"
"ui.deck.cleared";"Колода очищена";"Deck cleared"
"ui.deck.no_commander_yet";"Командир не выбран";"No commander set yet"
"ui.deck.show_commanders";"Показать командиров";"Show commanders"
"ui.deck.decks";"Колоды";"Decks"
"ui.deck.add";"Добавить колоду";"Add deck"
"ui.deck.copy_code";"Копировать";"Copy"
"ui.deck.is_commander";"Это карта командира — уже в колоде";"That's the commander's card — already in the deck"
"ui.deck.select";"Играть этой";"Play with this"
"ui.deck.active";"Активная";"Active"
"ui.deck.selected";"Играем колодой «{0}»";"Playing with «{0}»"
"ui.deck.incomplete";"Колода не собрана до конца — в бой не годится";"Deck isn't finished — not battle-ready"
"ui.deck.missing_owned";"В колоде есть карты, которых у вас нет";"The deck has cards you don't own"
"ui.deck.delete";"Удалить";"Delete"
"ui.deck.edit";"Изменить";"Edit"
"ui.deck.save";"Сохранить";"Save"
"ui.deck.clear";"Очистить";"Clear"
"ui.deck.empty";"Пока нет собранных колод";"No decks built yet"
"ui.deck.delete_confirm";"Удалить колоду «{0}»?";"Delete deck «{0}»?"
"ui.deck.limit";"Больше {0} колод держать нельзя — удалите одну";"You can't keep more than {0} decks — delete one first"
"ui.deck.name_taken";"Колода «{0}» уже есть — задайте другое имя";"Deck «{0}» already exists — pick another name"
"ui.deck.code_copied";"Код колоды скопирован";"Deck code copied"
"ui.deck.code_imported";"Код из буфера обмена: «{0}»";"Code from clipboard: «{0}»"
"ui.deck.imported";"Колода загружена из кода";"Deck loaded from code"
"ui.deck.imported_partial";"Колода из кода собрана частично: не хватает карт — {0}";"Deck partially built from code: {0} card(s) missing"
"ui.deck.missing_cards";"Часть карт не загрузилась: {0}";"Some cards didn't load: {0}"
"ui.login.enter_credentials";"Введите email и пароль";"Enter email and password"
"ui.login.password_too_short";"Пароль должен быть не менее 6 символов";"Password must be at least 6 characters"
"ui.login.offline";"Сервер недоступен. Проверьте подключение к интернету.";"Server unavailable. Check your internet connection."
"ui.login.offline_vpn";"Проверьте, работает ли VPN.";"Make sure your VPN is working."
"ui.login.retry";"Повторить";"Retry"
"ui.battle.your_turn";"Ваш ход!";"Your turn!"
"ui.battle.opponent_turn";"Ход оппонента";"Opponent's turn"
"ui.battle.milled";"Сожжено";"Milled"
"ui.battle.result_win";"Победа";"Victory"
"ui.battle.result_lose";"Поражение";"Defeat"
"ui.battle.result_draw";"Ничья";"Draw"
"ui.battle.mmr_gain";"+{0} MMR";"+{0} MMR"
"ui.battle.mmr_loss";"−{0} MMR";"−{0} MMR"
"ui.battle.mmr_waiting";"Считаем рейтинг…";"Calculating rating…"
"ui.battle.mmr_later";"Рейтинг обновится позже";"Rating will update later"
"ui.battle.result_menu";"В меню";"To menu"
"ui.battle.rewards_title";"Награды";"Rewards"
"ui.battle.tasks_title";"Задачи за матч";"Match tasks"
"ui.battle.result_next";"Далее";"Next"
"ui.mulligan.confirm";"Подтвердить";"Confirm"
"ui.mulligan.skip";"Пропустить";"Skip"
"card.standard.156.name";"Профсоюзное знамя";"Union Banner"
"card.standard.156.desc";"Ваши существа получают *+1* к скорости";"Your creatures gain *+1* speed"
"card.standard.157.name";"Сглаз";"Evil Eye"
"card.standard.157.desc";"В начале хода: наносит *1* урона случайному существу оппонента";"At the start of turn: deals *1* damage to a random enemy creature"
"card.standard.158.name";"Чёрная бухгалтерия";"Shady Bookkeeping"
"card.standard.158.desc";"В начале хода: уничтожает случайную карту из колоды оппонента";"At the start of turn: destroys a random card from the opponent's deck"
"card.standard.159.name";"Займ под проценты";"High-Interest Loan"
"card.standard.159.desc";"В начале хода: даёт *2* золота";"At the start of turn: gain *2* gold"
"card.standard.160.name";"Порча";"Hex"
"card.standard.160.desc";"В начале хода: оппонент сбрасывает случайную карту";"At the start of turn: the opponent discards a random card"
"card.standard.161.name";"Дупликатор";"Duplicator"
"card.standard.161.desc";"В начале хода: замешивает копию случайной карты из вашей руки в колоду";"At the start of turn: shuffles a copy of a random card from your hand into your deck"
"card.standard.162.name";"Вербовка";"Recruitment"
"card.standard.162.desc";"В начале хода: призывает самое дешёвое существо из вашей колоды";"At the start of turn: summons the cheapest creature from your deck"
"card.standard.163.name";"Страховка";"Insurance"
"card.standard.163.desc";"Когда вы получаете урон на своём ходу: возьмите карту";"When you take damage during your turn: draw a card"
"ui.keyword.worker.name";"Работяга";"Worker"
"ui.keyword.worker.desc";"Архетип. Карты-работяги усиливают друг друга";"Archetype. Worker cards empower each other"
"ui.keyword.imp.name";"Чёрт";"Imp"
"ui.keyword.imp.desc";"Архетип. Черти сильны числом";"Archetype. Imps are strong in numbers"
"ui.keyword.flora.name";"Флора";"Flora"
"ui.keyword.flora.desc";"Архетип. Растения прорастают и множатся";"Archetype. Plants sprout and multiply"
"ui.keyword.taunt.name";"Защитник";"Guardian"
"ui.keyword.taunt.desc";"Свойство. Существа рядом обязаны атаковать его";"Property. Nearby creatures must attack it"
"ui.keyword.doubleattack.name";"Двойной удар";"Double Strike"
"ui.keyword.doubleattack.desc";"Свойство. Атакует дважды за ход";"Property. Attacks twice per turn"
"ui.keyword.shielded.name";"Укреплённый";"Fortified"
"ui.keyword.shielded.desc";"Свойство. Поглощает несколько ударов, затем спадает";"Property. Absorbs several hits, then breaks"
"ui.keyword.invulnerable.name";"Неуязвимый";"Invulnerable"
"ui.keyword.invulnerable.desc";"Свойство. Не получает урон и не уничтожается";"Property. Takes no damage and can't be destroyed"
"ui.keyword.poisoned.name";"Ядовитый";"Toxic"
"ui.keyword.poisoned.desc";"Свойство. Любой урон, который он наносит, дополнительно отравляет цель";"Property. Any damage it deals also poisons the target"
"ui.keyword.retaliate.name";"Ответочка";"Retaliate"
"ui.keyword.retaliate.desc";"Свойство. Если существо пережило атаку — отвечает атаковавшему своим уроном";"Property. If it survives being attacked, it strikes the attacker back"
"ui.keyword.vampirism.name";"Вампиризм";"Vampirism"
"ui.keyword.vampirism.desc";"Свойство. Любой нанесённый им урон лечит вашего героя на ту же величину";"Property. Any damage it deals heals your hero for the same amount"
"ui.keyword.stealthed.name";"Скрытый";"Stealth"
"ui.keyword.stealthed.desc";"Свойство. Недоступен врагу на несколько ходов";"Property. Untargetable by the enemy for a few turns"
"ui.firstrun.skip_tutorial";"Пропустить обучение";"Skip tutorial"
"ui.err.not_enough";"Недостаточно средств";"Not enough funds"
"ui.err.already_owned";"Уже куплено";"Already owned"
"ui.err.unknown_item";"Товар недоступен";"Item unavailable"
"ui.err.not_owned";"Предмета нет в инвентаре";"You don't own this item"
"ui.err.config_missing";"Раздел временно недоступен";"Section temporarily unavailable"
"ui.err.grant_failed";"Не удалось выдать предмет — средства возвращены";"Couldn't grant the item — funds refunded"
"ui.err.not_logged_in";"Нет связи с сервером";"No connection to the server"
"ui.err.bad_request";"Некорректный запрос";"Bad request"
"ui.err.dev_disabled";"Дев-функции выключены";"Dev functions are disabled"
"ui.shop.booster_standard";"Бустер «Standard»";"«Standard» booster"
"ui.shop.booster_premium";"Бустер «Премиум»";"«Premium» booster"
"ui.shop.avatar_prince";"Аватар «Шальной принц»";"«Reckless Prince» avatar"
"ui.shop.avatar_gnidalf";"Аватар «Гнидальф»";"«Gnidalf» avatar"
"ui.matchmaking.searching";"Поиск соперника…";"Finding an opponent…"
"ui.matchmaking.found";"Соперник найден!";"Opponent found!"
"ui.matchmaking.loading";"Загрузка боя…";"Loading the battle…"
"ui.matchmaking.failed";"Не удалось найти соперника";"Couldn't find an opponent"
"ui.matchmaking.cancelled";"Поиск отменён";"Search cancelled"
"ui.mm.flavor.01";"Ищем с кем подраться…";"Looking for someone to punch…"
"ui.mm.flavor.02";"Ищем лоха…";"Scouting for an easy mark…"
"ui.mm.flavor.03";"Забиваем стрелку…";"Setting up the showdown…"
"ui.mm.flavor.04";"Готовим кулаки…";"Cracking our knuckles…"
"ui.mm.flavor.05";"Заряжаемся на позитив…";"Charging up the good vibes…"
"ui.mm.flavor.06";"Сканируем сервера на наличие жертв…";"Scanning the servers for victims…"
"ui.mm.flavor.07";"Зависли в ожидании…";"Just hanging around…"
"ui.mm.flavor.08";"Подбираем соперника по интеллекту… снижаем планку";"Matching by intellect… lowering the bar"
"ui.mm.flavor.09";"Ищем достойного… ну или хоть кого-нибудь";"Looking for a worthy foe… or literally anyone"
"ui.mm.flavor.10";"Ждём смельчака…";"Waiting for a brave soul…"
"ui.mm.flavor.11";"Прочёсываем подворотни сервера…";"Combing the server's back alleys…"
"ui.mm.flavor.12";"Точим когти…";"Sharpening our claws…"
"ui.mm.flavor.13";"Разминаем костяшки…";"Warming up our fists…"
"ui.mm.flavor.14";"Пакуем понты…";"Packing extra swagger…"
"ui.mm.flavor.15";"Ищем соперника с амбициями и без шансов…";"Seeking a rival with big dreams and no chance…"
"ui.mm.flavor.16";"Готовим отмазки на случай проигрыша…";"Preparing excuses in case you lose…"
"ui.mm.flavor.17";"Ищем добровольца на роль проигравшего…";"Recruiting a volunteer for the loser role…"
"ui.mm.flavor.18";"Кто-то же должен проиграть… и это не мы";"Someone has to lose… and it won't be us"
"ui.mm.flavor.19";"Ищем того, кто не забоится…";"Looking for someone who won't chicken out…"
"ui.mm.flavor.20";"Зовём на разборки…";"Calling everyone out…"
"ui.mm.flavor.21";"Готовим арену к побоищу…";"Prepping the arena for a beatdown…"
"ui.mm.flavor.22";"Ищем жертву по объявлению…";"Victim wanted — apply within…"
"ui.mm.flavor.23";"Ставим на кон твоё эго…";"Betting your ego on this one…"
"ui.mm.flavor.24";"Прогреваем скамейку запасных лохов…";"Warming up the bench of chumps…"
"ui.mm.flavor.25";"Проверяем сервер на наличие храбрецов…";"Checking the server for brave souls…"
"ui.mm.flavor.26";"Ищем оппонента… а вдруг повезёт не тебе";"Finding an opponent… maybe luck skips you today"
"ui.mm.flavor.27";"Собираем секундантов…";"Gathering the seconds…"
"ui.mm.flavor.28";"Договариваемся о правилах… которых не будет";"Agreeing on the rules… there will be none"
"ui.mm.flavor.29";"Ищем того, кому не жалко нервов…";"Looking for someone with nerves to spare…"
"ui.mm.flavor.30";"Ищем спарринг-грушу…";"Looking for a punching bag…"
"ui.mm.flavor.31";"Подбираем клоуна для твоего цирка…";"Booking a clown for your circus…"
"ui.mm.flavor.32";"Заряжаем сарказм…";"Loading sarcasm…"
"ui.mm.flavor.33";"Ищем оппонента с завышенной самооценкой…";"Seeking a rival with wildly inflated self-esteem…"
"ui.mm.flavor.34";"Ищем того, кто ещё верит в свою колоду…";"Finding someone who still believes in their deck…"
"ui.mm.flavor.35";"Наливаем сопернику ложных надежд…";"Pouring your rival a glass of false hope…"
"ui.mm.flavor.36";"Готовим корону проигравшего…";"Polishing the loser's crown…"
"ui.mm.flavor.37";"Ищем, кого сегодня проучить…";"Picking today's victim for a lesson…"
"ui.mm.flavor.38";"Ищем героя дня… чтобы его уронить";"Finding the hero of the day… to knock them down"
"ui.mm.flavor.39";"Проверяем, кто сегодня без фарта…";"Checking who's out of luck today…"
"ui.mm.flavor.40";"Раздуваем щёки…";"Puffing up our chests…"
"ui.mm.flavor.41";"Ищем оппонента, пока не передумал…";"Grabbing an opponent before they change their mind…"
"ui.mm.flavor.42";"Тралим сервер на слабаков…";"Trawling the server for weaklings…"
"ui.mm.flavor.43";"Готовим место для твоего поражения…";"Reserving a spot for your defeat…"
"ui.mm.flavor.44";"Ищем, об кого потренироваться…";"Looking for someone to practise on…"
"ui.nav.auction";"Аукцион";"Auction"
"ui.auction.bid";"Ставка";"Bid"
"ui.auction.place";"Сделать ставку";"Place bid"
"ui.auction.raise";"Перебить";"Raise"
"ui.auction.minBid";"Старт";"Start"
"ui.auction.seller";"Продавец";"Seller"
"ui.auction.leading";"Вы лидируете";"You're winning"
"ui.auction.outbid";"Вас перебили";"Outbid"
"ui.auction.noBids";"Ставок нет";"No bids"
"ui.auction.ended";"Завершён";"Ended"
"ui.auction.list";"Выставить";"List"
"ui.auction.bids";"Ставок: {0}";"Bids: {0}"
"ui.auction.nearFull";"Ой, рынок вот-вот лопнет от лотов!";"Whoa, the market's about to burst with lots!"
"ui.auction.full";"Рынок переполнен — дождитесь закрытия лотов";"Market's full — wait for lots to close"
"ui.auction.capacity";"Занято {0} / {1}";"Filled {0} / {1}"
"ui.auction.bidCost";"Спишется {0} {1}";"You'll pay {0} {1}"
"ui.auction.bidConfirm";"Ставка {0} → спишется {1} {2}?";"Bid {0} → you'll pay {1} {2}?"
"ui.auction.listConfirm";"Выставить со старта {0} {1} на {2} мин?";"List from {0} {1} for {2} min?"
"ui.auction.timeH";"{0}ч {1:00}м";"{0}h {1:00}m"
"ui.err.auction_full";"Рынок переполнен — дождитесь закрытия лотов";"Market's full — wait for lots to close"
"ui.err.has_bids";"На лот уже есть ставки — снять нельзя";"Lot already has bids — can't cancel"
"ui.err.outbid";"Ставка должна быть выше текущей";"Bid must beat the current one"
"ui.err.own_lot";"Это ваш лот";"This is your own lot"
"ui.err.ended";"Лот уже завершён";"Lot already ended"
"ui.err.not_sellable";"Этот предмет нельзя продавать";"This item can't be sold"
"ui.err.bad_currency";"Недопустимая валюта";"Invalid currency"
"ui.err.bid_too_low";"Ставка ниже минимальной";"Bid below minimum"
"ui.err.not_found";"Лот не найден";"Lot not found"
"ui.err.not_owner";"Это не ваш лот";"Not your lot"
"ui.auction.tabBrowse";"Обзор";"Browse"
"ui.auction.tabMy";"Мои";"Mine"
"ui.auction.tabMyLots";"Мои лоты";"My lots"
"ui.auction.tabSell";"Продать";"Sell"
"ui.welcome.title";"Давай знакомиться";"Let's get acquainted"
"ui.welcome.continue";"Продолжить";"Continue"
"ui.welcome.nickname_hint";"Введите ник";"Enter a nickname"
"ui.welcome.google";"Войти через Google";"Sign in with Google"
"ui.welcome.apple";"Войти через Apple";"Sign in with Apple"
"ui.welcome.soon";"скоро";"soon"
"ui.welcome.name_too_short";"Ник слишком короткий (мин. 3)";"Nickname too short (min 3)"
"ui.welcome.name_taken";"Это имя недоступно — попробуйте другое";"That name isn't available — try another"
"ui.welcome.name_failed";"Не удалось задать ник — попробуйте ещё раз";"Couldn't set the nickname — try again"
"ui.welcome.have_account";"Уже есть аккаунт";"Already have an account"
"ui.signin.title";"Вход по почте";"Sign in with email"
"ui.signin.hint";"Для аккаунтов, заведённых на сайте игры";"For accounts created on the game website"
"ui.signin.email";"Почта";"Email"
"ui.signin.password";"Пароль";"Password"
"ui.signin.submit";"Войти";"Sign in"
"ui.signin.back";"Назад";"Back"
"ui.signin.empty";"Введите почту и пароль";"Enter your email and password"
"ui.signin.bad_credentials";"Неверная почта или пароль";"Wrong email or password"
"ui.signin.failed";"Не удалось войти — попробуйте ещё раз";"Couldn't sign in — try again"
"ui.booster.openN";"Открыть ×{0}";"Open ×{0}"
"ui.battle.end_turn";"Конец хода";"End Turn"
"ui.login.flavor.01";"Ищем свободные места…";"Looking for a free seat…"
"ui.login.flavor.02";"Стучимся в сервер…";"Knocking on the server…"
"ui.login.flavor.03";"Будим админа…";"Waking up the admin…"
"ui.login.flavor.04";"Пробиваемся через очередь…";"Elbowing through the queue…"
"ui.login.flavor.05";"Протираем пыль с базы данных…";"Dusting off the database…"
"ui.login.flavor.06";"Пересчитываем ваши богатства…";"Recounting your riches…"
"ui.login.flavor.07";"Проверяем, не сбежал ли прогресс…";"Checking your progress hasn't run off…"
"ui.login.flavor.08";"Ищем ваш аккаунт в стопке…";"Digging your account out of the pile…"
"ui.login.flavor.09";"Уговариваем сервер пустить…";"Talking the server into letting you in…"
"ui.login.flavor.10";"Раскладываем карты по местам…";"Putting the cards back in order…"
"ui.login.flavor.11";"Ищем розетку для сервера…";"Looking for somewhere to plug the server in…"
"ui.login.flavor.12";"Договариваемся с облаком…";"Negotiating with the cloud…"
"ui.tutorial.commander";"Это твой командир. Всегда под рукой — выставляй когда вздумается. Прикончат — вернётся через ход, злой и с претензиями.";"This is your commander. Always on hand — deploy whenever you feel like it. Get him killed and he's back next turn, sulking."
"ui.tutorial.gold";"Золотишко. За него на стол выходят существа. В начале хода его становится больше и оно восстанавливается — копить бессмысленно, тратить приятно.";"Gold. It's what puts creatures on the board. Each turn you get more and it refills — hoarding is pointless, spending is a joy."
"ui.tutorial.playCreature";"Тащи существо из руки на свою переднюю линию. Золотишка хватает — не жмись.";"Drag a creature from your hand onto your front line. You can afford it — don't be shy."
"ui.tutorial.stats";"У существа три числа. Атака — сколько отсыпет. Здоровье — сколько стерпит. Скорость — вот тут внимательнее.";"A creature has three numbers. Attack — how hard it hits. Health — how much it takes. Speed — pay attention to this one."
"ui.tutorial.speed";"Скорость — это действия, а не бег. Шаг стоит скорости, удар — тоже. Бить можно раз за ход. В начале хода всё восстанавливается.";"Speed means actions, not running. A step costs speed, so does a hit. One attack per turn. It all refills at the start of your turn."
"ui.tutorial.mana";"С трупа капнула мана. Она нужна для заклинаний и чар. Сама не появляется — добывается из чужих существ или разными хитростями.";"Mana dripped off the corpse. It pays for spells and charms. It doesn't appear on its own — you harvest it from enemy creatures, or by other tricks."
"ui.tutorial.playSpell";"Мана есть — разыграй заклинание. У заклинаний бывают требования: нет подходящей цели — не сыграется.";"You've got mana — cast a spell. Spells have requirements: no valid target, no cast."
"ui.tutorial.charms";"Ещё бывают чары — постоянные штуки, тоже за ману. Больше пяти под контролем не удержишь.";"There are also charms — permanent things, also paid in mana. You can't hold more than five at once."
"ui.tutorial.done";"Всё, ты обучен. Дальше будет только хуже — но веселее.";"That's it, you're trained. It only gets worse from here — but more fun."
"ui.tutorial.next";"Далее";"Next"
"ui.tutorial.move";"Кликни своё существо, потом соседнюю клетку. Шаг тратит скорость: кончилась — заверши ход, и она восстановится.";"Click your creature, then an adjacent cell. A step costs speed: out of it? End your turn and it refills."
"ui.tutorial.attack";"Дойди до чужого существа и вдарь: клик по своему, клик по врагу рядом. Скорости не хватило — заверши ход и продолжи в следующем.";"Reach an enemy creature and hit it: click yours, then the enemy next to it. Out of speed? End your turn and continue next one."
"ui.tutorial.lethal";"Финал. Пробейся к аватару противника и колоти, пока не кончится. Кончилась скорость — заверши ход.";"Finale. Punch through to the enemy avatar and keep hitting. Out of speed? End your turn."
"ui.dialog.buyConfirmMany";"Купить {0} шт. за {1} {2}?";"Buy {0} for {1} {2}?"
"ui.dialog.max";"Максимум";"Max"
"ui.card.dustAll";"Порвать дубли (×{0})";"Shred dupes (×{0})"
"card.stolen_princess.0.name";"Шальной принц";"The Reckless Prince"
"card.stolen_princess.0.desc";"В начале хода: разыгрывает верхнюю карту колоды (цели случайны)";"At the start of your turn: plays the top card of your deck (targets are random)"
"card.stolen_princess.1.name";"Распрекрасная принцесса";"The Fairest Princess"
"card.stolen_princess.1.desc";"В начале матча: замешивается в колоду. При взятии: восстанавливает всё здоровье";"At the start of the match: shuffles itself into your deck. When drawn: restores all your health"
"card.stolen_princess.2.name";"Местный браток";"The Local Tough"
"card.stolen_princess.2.desc";"Пережив урон: призывает свою копию";"After it survives damage: summons a copy of itself"
"card.stolen_princess.3.name";"Вот эта потасовка";"What a Brawl!"
"card.stolen_princess.3.desc";"Уничтожьте всех существ, кроме одного случайного";"Destroy all creatures except one random"
"story.prince.name";"Шальной принц";"The Reckless Prince"
"story.princess.name";"Распрекрасная принцесса";"The Fairest Princess"
"story.gnidalf.name";"Гнидальф немытый";"Gnidalf the Unwashed"
"story.guard.name";"Тюремщик Мордоворот";"Bruiser the Jailer"
"story.ratking.name";"Крысиный король";"The Rat King"
"story.sensei.name";"Сенсей Кабан";"Sensei Boarman"
"story.sorcerer.name";"Колдун Плесневик";"Moldwick the Warlock"
"story.devilboss.name";"Главарь преисподней";"The Underboss of Hell"
"story.c1e1.intro.1";"Стража! Я, Шальной принц, требую выпустить меня. …Ах, вы и есть стража.";"Guards! I, the Reckless Prince, demand release. …Oh. You ARE the guards."
"story.c1e1.intro.2";"Ну хоть разомнёмся перед спасением принцессы.";"Fine — a warm-up before the rescue."
"story.c1e1.victory.1";"Побег засчитан! Замок, ты был так себе.";"Jailbreak complete! Castle, you were mid at best."
"story.c1e1.defeat.1";"Обратно в камеру. Там хотя бы кормят.";"Back to the cell. At least they feed you there."
"story.c1e2.intro.1";"Фу. Канализация. Пахнет как экзамен по химии.";"Ugh. Sewers. Smells like a chemistry final."
"story.c1e2.intro.2";"Крысиный король? Серьёзно? У меня аллергия на монархов.";"The Rat King? Really? I'm allergic to monarchs."
"story.c1e2.victory.1";"Долгой памяти твоим крысам. Очень долгой — они всё возвращаются.";"Long live your rats. Too long — they keep coming back."
"story.c1e2.defeat.1";"Меня загрызли. Буквально. Как неловко.";"I got gnawed to bits. Literally. How embarrassing."
"story.c1e3.intro.1";"Качалка? Отлично, спрошу дорогу. …Почему все такие большие?";"A gym? Great, I'll ask for directions. …Why is everyone HUGE?"
"story.c1e3.intro.2";"Билли, я не хочу с тобой соревноваться. Я хочу мимо тебя пройти.";"Billy, I don't want to compete. I want to walk PAST you."
"story.c1e3.victory.1";"Считается за тренировку. Больше не приду.";"Counts as leg day. Never coming back."
"story.c1e3.defeat.1";"Меня зажали. И это был не приём.";"They pinned me. And it wasn't a wrestling move."
"story.c1e4.intro.1";"Болото невезения. По названию уже понятно, чем закончится.";"The Swamp of Bad Luck. The name kind of spoils the ending."
"story.c1e4.intro.2";"Дед, отдай посох. Он тебе великоват.";"Gramps, hand over the staff. It's a size too big for you."
"story.c1e4.event.1";"Ку-ку, принц. Держи гостинец — подышишь моими облачками.";"Peekaboo, princeling. Have a gift — breathe in my little clouds."
"story.c1e4.victory.1";"Проклятия сняты. Невезение осталось, но это уже характер.";"Curses lifted. The bad luck stays — that's just my personality."
"story.c1e4.defeat.1";"Кажется, я вытянул не ту карту. Все не те.";"Seems I drew the wrong card. All of them."
"story.c1e5.intro.1";"Преисподняя. Тепло, людно, начальство. Как понедельник.";"The Underworld. Warm, crowded, middle management. Just like Monday."
"story.c1e5.intro.2";"Ты не Гнидальф. Ты его подрядчик.";"You're not Gnidalf. You're his contractor."
"story.c1e5.victory.1";"Передай наверх: принц уже в пути. И он зол.";"Tell upstairs: the prince is coming. And he's cranky."
"story.c1e5.defeat.1";"Меня закидали чертями. Мелкими. Обидно вдвойне.";"Buried under imps. Tiny ones. Twice as insulting."
"story.c1e6.intro.1";"Гнидальф! Отпусти принцессу, немытая ты душа!";"Gnidalf! Release the princess, you unwashed soul!"
"story.c1e6.intro.2";"Мылся я в прошлом веке. И победил тоже — заранее.";"I last bathed a century ago. And I already won — in advance."
"story.c1e6.event.1";"Устал, принц? Вот тебе облачков на дорожку.";"Tired, princeling? Here's some clouds for the road."
